nama,email,telepon,kota
Budi Santoso,budi@gmail.com,081234567890,Jakarta
Ani Rahayu,ani@yahoo.com,082111222333,Surabaya
Dedi Kurniawan,dedi@mail.com,083344556677,Bandung
Sari Dewi,sari@gmail.com,081298765432,Jakarta
Ahmad Fauzi,ahmad@outlook.com,085711223344,Medan
Rina Marlina,rina@gmail.com,081356789012,Surabaya
Yoga Pratama,yoga@gmail.com,087812345678,Jakarta
Fitri Handayani,fitri@yahoo.com,082234567890,Makassar
Hendra Wijaya,hendra@mail.com,081345678901,Bandung
Lestari Putri,lestari@gmail.com,083456789012,Semarang
Rizky Ramadan,rizky@gmail.com,085678901234,Jakarta
Nurul Hidayah,nurul@yahoo.com,081567890123,Surabaya
Agus Setiawan,agus@mail.com,082678901234,Medan
Diah Puspita,diah@gmail.com,083789012345,Jakarta
Wahyu Susanto,wahyu@gmail.com,087890123456,Yogyakarta
Mega Wulandari,mega@yahoo.com,081890123456,Bandung
Fajar Hidayat,fajar@gmail.com,082901234567,Jakarta
Citra Kusuma,citra@mail.com,083012345678,Surabaya
Arif Budiman,arif@gmail.com,085123456789,Semarang
Dewi Anggraeni,dewi@yahoo.com,081223344556,Makassar
Ivan Setiadi,ivan@gmail.com,082334455667,Jakarta
Putri Maharani,putri@mail.com,083445566778,Medan
Bayu Adiputra,bayu@gmail.com,085556677889,Surabaya
Lina Octavia,lina@yahoo.com,081667788990,Bandung
Rendi Saputra,rendi@gmail.com,082778899001,Jakarta
